Code,Name,Category,Unit
RC0001,"1 1/8""x3/16""x6' Armaflex 41/bx",ARMAFLEX,Stick
RC0002,"1 1/8""x3/4""x6' Armaflex 15/BX",ARMAFLEX,Stick
RC0003,"3/4""x3/4""x6' Armaflex 24/BX",ARMAFLEX,Stick
RC0004,"5/8""x3/4""x 6' Armaflex 30/BX",ARMAFLEX,Stick
RC0005,"7/8""x3/4""x6' Armaflex 21/BX",ARMAFLEX,Stick
RC0006,White Armaflex Paint 1 Gallon,ARMAFLEX,Each
RC0007,"1/2"" Copper Coupling",COPPER PIPE & FITTINGS,Each
RC0008,"1/2"" Copper L/R 90 ELL",COPPER PIPE & FITTINGS,Each
RC0009,"1/2""x50' Soft Copper",COPPER PIPE & FITTINGS,Foot
RC0010,"3/4"" Copper Coupling 25/bx",COPPER PIPE & FITTINGS,Each
RC0011,"3/4"" Copper L/R 90 ELL 50/bx",COPPER PIPE & FITTINGS,Each
RC0012,"3/4"" Copper L/R 90 ST ELL",COPPER PIPE & FITTINGS,Each
RC0013,"3/4""x50' Soft Copper",COPPER PIPE & FITTINGS,Foot
RC0014,"3/8"" Copper Coupling 50/bx",COPPER PIPE & FITTINGS,Each
RC0015,"3/8"" Copper L/R 90 ELL",COPPER PIPE & FITTINGS,Each
RC0016,"3/8""x50' Soft Copper",COPPER PIPE & FITTINGS,Foot
RC0017,"5/8"" Copper Coupling",COPPER PIPE & FITTINGS,Each
RC0018,"5/8"" Copper L/R 90 ELL 50/bx",COPPER PIPE & FITTINGS,Each
RC0019,"5/8"" Copper L/R 90 ST ELL",COPPER PIPE & FITTINGS,Each
RC0020,"5/8""x50' Soft Copper",COPPER PIPE & FITTINGS,Foot
RC0021,"7/8"" Copper Coupling 25/bx",COPPER PIPE & FITTINGS,Each
RC0022,"7/8"" Copper L/R 90 ELL",COPPER PIPE & FITTINGS,Each
RC0023,"7/8"" Copper L/R 90 ST ELL 10/bx",COPPER PIPE & FITTINGS,Each
RC0024,"7/8""x50' Soft Copper",COPPER PIPE & FITTINGS,Foot
RC0025,20A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0026,20A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0027,20A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0028,20A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0029,20A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0030,20A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0031,25A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0032,25A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0033,25A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0034,25A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0035,25A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0036,25A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0037,30A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0038,30A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0039,30A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0040,30A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0041,30A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0042,30A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0043,35A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0044,35A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0045,35A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0046,35A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0047,35A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0048,35A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0049,40A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0050,40A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0051,40A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0052,40A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0053,40A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0054,40A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0055,45A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0056,45A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0057,45A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0058,45A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0059,45A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0060,45A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0061,50A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0062,50A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0063,50A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0064,50A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0065,50A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0066,50A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0067,60A2P Cutler Hammer Bkr,ELECTRICAL BREAKERS,Each
RC0068,60A2P Federal Pacific Bkr,ELECTRICAL BREAKERS,Each
RC0069,60A2P GE Slimline Bkr,ELECTRICAL BREAKERS,Each
RC0070,60A2P Murray/Challenger Bkr,ELECTRICAL BREAKERS,Each
RC0071,60A2P SQ D Breaker,ELECTRICAL BREAKERS,Each
RC0072,60A2P SQ Homeline Bkr,ELECTRICAL BREAKERS,Each
RC0073,"1 5/8"" x 1 5/8"" x 10' Grn Hanging Channel 3.5-5Ton",FASTENERS,Stick
RC0074,"1""x6"" Angle Brkt 4/pk",FASTENERS,Pkg
RC0075,"10x3/4"" Selfdrill Tek Screw 500/Bx",FASTENERS,Box
